                                                                                                                                                
================
== TensorFlow ==
================

NVIDIA Release 20.07-tf2 (build 14714731)
TensorFlow Version 2.2.0

Container image Copyright (c) 2020, NVIDIA CORPORATION.  All rights reserved.
File: a5fc99ca872e2e598991bfc46d5aec08.jpg, Guess: Abra Correct: Abra
File: a68f3c6bc7111de3e7007edf09141f4e.jpg, Guess: Gyarados Correct: Abra
File: a6dddee54c9d0b13defc026c5bce3f1b.png, Guess: Abra Correct: Abra
File: aabb27dd7e1c4508880bd8cc1141c340.jpg, Guess: Abra Correct: Abra
File: b065da5f186d4f9db497012350b31a9f.jpg, Guess: Abra Correct: Abra
File: b0b6de31451f4e7aa3411fe0963a7f4f.jpg, Guess: Golduck Correct: Abra
File: b11a7bde009c725c174e06167c028875.jpg, Guess: Articuno Correct: Abra
File: b17fbaf10c995ab6591699843af7586a.png, Guess: Pikachu Correct: Abra
File: b2ddf5c3a97fac83ed0e17fb6c1e40ba.jpg, Guess: Rapidash Correct: Abra
File: b4aae99b1c162deb4a75c09e79f9d831.jpg, Guess: Vaporeon Correct: Abra
File: b952a69cca6d4a1fb90646cc0636e80c.jpg, Guess: Zubat Correct: Abra
File: ba9412db1467d0574bb7a097fc8acdc8.jpg, Guess: Hypno Correct: Abra
File: bc134ce82db1f3082af6f480e7bee209.jpg, Guess: Nidorina Correct: Abra
File: bd0873f54401446cacfafdac70f82cd3.jpg, Guess: Rattata Correct: Abra
File: bd62e14b46bb2777b88d2cc4aadb4c20.jpg, Guess: Abra Correct: Abra
File: bdd70647363b47d0a97a6a9a1a7dd469.jpg, Guess: Nidoqueen Correct: Abra
File: c1c82c89958a4839a074910de72df05a.jpg, Guess: Venusaur Correct: Abra
File: c241146097b44c2e98ee7e473f90074a.jpg, Guess: Nidoqueen Correct: Abra
File: c9ab368481e446d685b1c1fdb42487df.jpg, Guess: Abra Correct: Abra
File: cb89d25cb34fb571c6bd3e8bd2d47ec0.jpg, Guess: Onix Correct: Abra
File: cba8a0b65116cc70843045671888d2fa.jpg, Guess: Abra Correct: Abra
File: cbf590b3138bd5f95283a15e48dda13f.jpg, Guess: Sandslash Correct: Abra
File: cc764e6aa13cb2b8c68240571029a604.jpg, Guess: Abra Correct: Abra
File: cd809a75deabea0a9aaa2aca89a9ea7e.jpg, Guess: Abra Correct: Abra
File: d1ba8548fced4b53821bfc1e0612324f.jpg, Guess: Nidoqueen Correct: Abra
File: d274eca3c9b9187e8befd89f4f05bf76.jpg, Guess: Articuno Correct: Abra
File: d5be236effcdc1b34beb6bac254ddb66.jpg, Guess: Onix Correct: Abra
File: d6732121e1bfdbdf35eaa876f832be4f.jpg, Guess: Mewtwo Correct: Abra
File: d83b6d9fb88bb74dc75f69b48e540c54.jpg, Guess: Gloom Correct: Abra
File: d86a234dff6d397a31fdd1717ff2ffaf.jpg, Guess: Abra Correct: Abra
File: d86baabedddc3939ae42d3efcb5eb5f3.jpg, Guess: Abra Correct: Abra
File: d921dc0d862f85f685cf65f0ccb9d1a2.jpg, Guess: Golduck Correct: Abra
File: daaa2d89f49bb52da59b78cfbab5e1a4.jpg, Guess: Golduck Correct: Abra
File: dc1503d3e5495fcf40edddd29a126a83.jpg, Guess: Abra Correct: Abra
File: dc647a2b662d36d8894b5a51aa8ae7b8.jpg, Guess: Abra Correct: Abra
File: de459f3db6aa37c04c44e447b5c3bbc9.jpg, Guess: Golduck Correct: Abra
File: ded1812f1e4273f7730263484b1ff5e5.jpg, Guess: Venusaur Correct: Abra
File: dee95364692cee7ddd27fa5c3fa9b7c3.jpg, Guess: Abra Correct: Abra
File: dfaa823a820ce32b87c16ea8bd9f4465.jpg, Guess: Mewtwo Correct: Abra
File: e0b44277a86f29f94cd7ee9f6ff25d2e.jpg, Guess: Golduck Correct: Abra
File: e106e14eb8b54eff8bea6f765ea9d20c.jpg, Guess: Abra Correct: Abra
File: e297786c64574fbbb264dc6274aa5864.jpg, Guess: Abra Correct: Abra
File: e3da65f45d7841c8a14d591a24c0e2bc.jpg, Guess: Mewtwo Correct: Abra
File: e423eac969cd1b400b42cd6235c928e3.jpg, Guess: Golduck Correct: Abra
File: e49f0befde17761d781457603e207ba3.jpg, Guess: Nidoqueen Correct: Abra
File: e56650b5edda68177a0840d239f70f48.jpg, Guess: Mewtwo Correct: Abra
File: e935a507b810ed93f29486b99dd32188.jpg, Guess: Abra Correct: Abra
File: e97bd8e689416dae3ed812f633a5777f.jpg, Guess: Nidoqueen Correct: Abra
File: ec1084a4270e852033cc50c811a2692a.jpg, Guess: Abra Correct: Abra
File: ec4b7261a2bef36de641138b9d28b7b1.jpg, Guess: Ivysaur Correct: Abra
File: ecbe67c9bf3cb669dc65c954ae7e0430.jpg, Guess: Poliwag Correct: Abra
File: edc3c5988f316a82bddb2c1c333b3304.jpg, Guess: Abra Correct: Abra
File: edea0114cc4317bdbe1fc096981d4c82.jpg, Guess: Nidoqueen Correct: Abra
File: ee6c7a2d9f18f8d1cb8ea52bc0d7dfdf.jpg, Guess: Snorlax Correct: Abra
File: ef4fe6312ffe42bd7e5ce0cc5ad55a58.jpg, Guess: Ivysaur Correct: Abra
File: f01cfef70138b908b7d4d2ffe24e070b.jpg, Guess: Golduck Correct: Abra
File: f066e98c519814d9dfc49cbf2fa9690f.jpg, Guess: Articuno Correct: Abra
File: f24d9934c9950fa4fa764e7a6dc2117a.jpg, Guess: Nidoqueen Correct: Abra
File: f61660fefae155bdf9c88559bc89d5f9.png, Guess: Ivysaur Correct: Abra
File: f63db145e3c90e2ef32a3b80b32f92bd.jpg, Guess: Abra Correct: Abra
File: f93ad307a645cdc9637cc22194256b33.jpg, Guess: Articuno Correct: Abra
File: fb63808848dfe32d6c46b230e85fee6e.png, Guess: Snorlax Correct: Abra
File: fbdf9d7fda155b896e41ed4e25345215.jpg, Guess: Golduck Correct: Abra
File: fc7a746f61a5d0d449f7a826443e8f58.jpg, Guess: Abra Correct: Abra
File: fd90af7f34477acbaf097cf2d697388f.jpg, Guess: Abra Correct: Abra
File: ff32e38a281d48d2bb2c7157fd6448d0.jpg, Guess: Weezing Correct: Abra
Accuracy for Abra: 0.39
File: 00000000.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000001.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000005.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000008.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000010.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000013.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000014.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000015.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000024.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000036.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000049.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000053.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000062.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000070.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000073.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000086.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000093.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000094.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000096.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000097.jpg, Guess: Parasect Correct: Aerodactyl
File: 00000099.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000102.png, Guess: Tauros Correct: Aerodactyl
File: 00000103.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000116.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000117.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000132.png, Guess: Cubone Correct: Aerodactyl
File: 00000142.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000145.png, Guess: Cubone Correct: Aerodactyl
File: 00000151.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000159.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000161.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000164.jpg, Guess: Rattata Correct: Aerodactyl
File: 00000168.jpg, Guess: Rhyhorn Correct: Aerodactyl
File: 00000169.png, Guess: Persian Correct: Aerodactyl
File: 00000170.png, Guess: Rhyhorn Correct: Aerodactyl
File: 00000172.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000174.png, Guess: Machoke Correct: Aerodactyl
File: 00000196.jpg, Guess: Charizard Correct: Aerodactyl
File: 00000211.png, Guess: Omastar Correct: Aerodactyl
File: 00000217.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000220.jpg, Guess: Magmar Correct: Aerodactyl
File: 00000221.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000223.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000224.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000228.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000233.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 00000234.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000237.png, Guess: Aerodactyl Correct: Aerodactyl
File: 00000238.jpg, Guess: Mewtwo Correct: Aerodactyl
File: 00d03bced7d58ac228f12c496b7f78dc.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 029d0c659dc448f49993648b024e615c.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 03c8317e874a687fb62275f8a463e4be.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 03e7eb59ba74b8dd384bdc55922a2137.jpg, Guess: Charizard Correct: Aerodactyl
File: 040ca06c05645369ff98315636a4a503.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 057023f677605a99d2ac190f1fb898b9.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0598db9a1de245db9719661466001511.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 05eb935a77f1be38ee94f81790ad604c.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 068b925779db0f6160df55af9dfc014d.jpg, Guess: Kadabra Correct: Aerodactyl
File: 06b322bf9eff864aa26fb8539b79f70a.jpg, Guess: Persian Correct: Aerodactyl
File: 0813a450419f4733bfa5f782810219a8.jpg, Guess: Gyarados Correct: Aerodactyl
File: 08ffc04b8572c70645ae2a54a8637d4b.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0901435ea9eff03de27e1b2a68ddf472.jpg, Guess: Nidorina Correct: Aerodactyl
File: 0973438ef8cff744821e40ed0b9ebeae.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 099ac5779c3dd36fa397d446631728a8.jpg, Guess: Tauros Correct: Aerodactyl
File: 09a9098d51abb86b7b139081df502d5f.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0a15b831d1b947fda035aaf637c58215.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0ba264751e3c2a090320d59e19d0ec81.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0d2f6f66ba8cb4717b299cdf1e055ef9.jpg, Guess: Golbat Correct: Aerodactyl
File: 0d6fe742697f0c404ef15a5e021906ab.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0eab1e1f744340fa87268f2b558c7ccf.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0ede9ed72f2cb7cfce127b53dca51767.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0f5ec128d07341989cb8786fec08c885.jpg, Guess: Aerodactyl Correct: Aerodactyl
File: 0f6ba47c5f31c5d0570afab550f5de8d.jpg, Guess: Aerodactyl Correct: Aerodactyl
